Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2018-09-20 12:04:08,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
2018-09-20 12:03:15,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR
,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
2018-09-17 23:41:17,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR
2018-09-16 17:15:08,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR
2018-09-15 06:34:17,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR
2018-09-14 05:39:17,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
2018-09-13 21:35:15,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
2018-09-13 21:01:47,Credit Card,Other,Unknown,HBR 2 Months subscription,83.0,Expense,INR
2018-09-13 21:01:32,Cash,Food,Grocery,1kg atta,46.0,Expense,INR
,Saving Bank account 1,Small Cap fund 2,Unknown,No Description,5000.0,Transfer-Out,INR
,Saving Bank account 1,Small cap fund 1,Unknown,No Description,5000.0,Transfer-Out,INR
,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
,Saving Bank account 1,Food,Lunch,Home Food Delivery,650.0,Expense,INR
,Saving Bank account 1,Other,Unknown,From Family,3500.0,Income,INR
,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
,Cash,Family,Pocket money,No Description,40.0,Expense,INR
,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
,Saving Bank account 1,Equity Mutual Fund E,Unknown,No Description,1000.0,Transfer-Out,INR
,Cash,Food,snacks,Amul butter,55.0,Expense,INR
,Cash,Apparel,Laundry,11 clothes ironing,77.0,Expense,INR
,Cash,Food,snacks,Chinese Bhel,30.0,Expense,INR
,Cash,Food,snacks,Shev Puri,40.0,Expense,INR
,Cash,Food,snacks,2 kachori,24.0,Expense,INR
,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
,Cash,Family,Pocket money,No Description,2000.0,Expense,INR
,Saving Bank account 1,Public Provident Fund,Unknown,No Description,12500.0,Transfer-Out,INR
,Equity Mutual Fund B,Saving Bank account 1,Unknown,No Description,2000.0,Transfer-Out,INR
2018-08-31 15:12:20,Cash,Family,Pocket money,No Description,1000.0,Expense,INR
2018-08-31 15:12:20,Cash,Gift,Unknown,farewell contribution,118.0,Expense,INR
2018-08-31 10:01:15,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
